Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.01,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.02,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.03,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.04,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.05,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.06,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.07,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.08,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.09,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.1,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.11,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.12,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.13,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.14,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.15,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.16,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.17,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.18,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.19,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.2,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.21,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.22,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.23,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.24,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.25,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.26,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.27,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.28,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.29,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.3,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.31,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.32,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.33,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.34,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.35000000000000003,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.36,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.37,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.38,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.39,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.4,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.41000000000000003,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.42,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.43,0.992,0.08912880535463236,0.0,0.0,0.288,0.11923457363624396
0.44,0.8198356060606061,0.21526077056377269,0.0,0.0,0.23820000000000002,0.11293145493401524
0.45,0.8198356060606061,0.21526077056377269,0.0,0.0,0.23820000000000002,0.11293145493401524
0.46,0.655607251082251,0.26009159538769633,0.06778894716394715,0.07968867693066511,0.2398,0.11277218830609005
0.47000000000000003,0.655607251082251,0.26009159538769633,0.13669163336663337,0.10489913242367134,0.2889333333333333,0.11805045210661376
