Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,0.988,0.10893974420691409,0.0,0.0,0.2614375,0.11139540511183588
0.01,0.988,0.10893974420691409,0.0,0.0,0.2614375,0.11139540511183588
0.02,0.988,0.10893974420691409,0.0,0.0,0.2614375,0.11139540511183588
0.03,0.988,0.10893974420691409,0.1721792096792097,0.10513745943079911,0.3890625,0.11884849518844805
0.04,0.8222301587301587,0.22345277359294544,0.4149862998112998,0.14442418162385584,0.5233125,0.12630498423574896
0.05,0.8222301587301587,0.22345277359294544,0.4149862998112998,0.14442418162385584,0.5233125,0.12630498423574896
0.06,0.8222301587301587,0.22345277359294544,0.4149862998112998,0.14442418162385584,0.5233125,0.12630498423574896
0.07,0.8222301587301587,0.22345277359294544,0.4149862998112998,0.14442418162385584,0.5233125,0.12630498423574896
0.08,0.8222301587301587,0.22345277359294544,0.4149862998112998,0.14442418162385584,0.5233125,0.12630498423574896
0.09,0.8222301587301587,0.22345277359294544,0.47146703574203574,0.151242653754725,0.565375,0.12596418678081223
0.1,0.8222301587301587,0.22345277359294544,0.5291354215229216,0.15049833089649092,0.6080625,0.12313357267809
0.11,0.8222301587301587,0.22345277359294544,0.5291354215229216,0.15049833089649092,0.6080625,0.12313357267809
0.12,0.8222301587301587,0.22345277359294544,0.5866340728715729,0.14713718475324358,0.650375,0.1190915285281332
0.13,0.8222301587301587,0.22345277359294544,0.7696032717282717,0.13111862773407293,0.785875,0.10546347433789302
0.14,0.6637511904761905,0.2601503529499257,0.7696032717282717,0.13111862773407293,0.7433125,0.11076247975136107
0.15,0.6637511904761905,0.2601503529499257,0.8880430902430904,0.08996555518421646,0.8309375,0.08935574571924877
0.16,0.6637511904761905,0.2601503529499257,0.8880430902430904,0.08996555518421646,0.8309375,0.08935574571924877
0.17,0.6637511904761905,0.2601503529499257,0.8880430902430904,0.08996555518421646,0.8309375,0.08935574571924877
0.18,0.6637511904761905,0.2601503529499257,0.8880430902430904,0.08996555518421646,0.8309375,0.08935574571924877
0.19,0.6637511904761905,0.2601503529499257,0.8880430902430904,0.08996555518421646,0.8309375,0.08935574571924877
0.2,0.6637511904761905,0.2601503529499257,0.8880430902430904,0.08996555518421646,0.8309375,0.08935574571924877
0.21,0.6637511904761905,0.2601503529499257,0.8880430902430904,0.08996555518421646,0.8309375,0.08935574571924877
0.22,0.6637511904761905,0.2601503529499257,0.8880430902430904,0.08996555518421646,0.8309375,0.08935574571924877
0.23,0.6637511904761905,0.2601503529499257,0.8880430902430904,0.08996555518421646,0.8309375,0.08935574571924877
0.24,0.6637511904761905,0.2601503529499257,0.8880430902430904,0.08996555518421646,0.8309375,0.08935574571924877
0.25,0.6637511904761905,0.2601503529499257,0.8880430902430904,0.08996555518421646,0.8309375,0.08935574571924877
0.26,0.6637511904761905,0.2601503529499257,0.8880430902430904,0.08996555518421646,0.8309375,0.08935574571924877
0.27,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.28,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.29,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.3,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.31,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.32,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.33,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.34,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.35000000000000003,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.36,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.37,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.38,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.39,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.4,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.41000000000000003,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.42,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.43,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.44,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.45,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.46,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.47000000000000003,0.49993055555555554,0.273775323216732,0.8880430902430904,0.08996555518421646,0.7881875,0.1003169830628934
0.48,0.332806746031746,0.2598391050997058,0.9465914141414141,0.06527933279369966,0.786625,0.10310274997327691
0.49,0.332806746031746,0.2598391050997058,0.9465914141414141,0.06527933279369966,0.786625,0.10310274997327691
0.5,0.332806746031746,0.2598391050997058,0.9465914141414141,0.06527933279369966,0.786625,0.10310274997327691
0.51,0.332806746031746,0.2598391050997058,0.9465914141414141,0.06527933279369966,0.786625,0.10310274997327691
0.52,0.332806746031746,0.2598391050997058,0.9465914141414141,0.06527933279369966,0.786625,0.10310274997327691
0.53,0.332806746031746,0.2598391050997058,0.9465914141414141,0.06527933279369966,0.786625,0.10310274997327691
0.54,0.332806746031746,0.2598391050997058,0.9465914141414141,0.06527933279369966,0.786625,0.10310274997327691
0.55,0.332806746031746,0.2598391050997058,0.9465914141414141,0.06527933279369966,0.786625,0.10310274997327691
0.56,0.332806746031746,0.2598391050997058,0.9465914141414141,0.06527933279369966,0.786625,0.10310274997327691
0.5700000000000001,0.332806746031746,0.2598391050997058,0.9465914141414141,0.06527933279369966,0.786625,0.10310274997327691
0.58,0.332806746031746,0.2598391050997058,0.9465914141414141,0.06527933279369966,0.786625,0.10310274997327691
0.59,0.332806746031746,0.2598391050997058,0.9465914141414141,0.06527933279369966,0.786625,0.10310274997327691
0.6,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.61,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.62,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.63,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.64,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.65,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.66,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.67,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.68,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.6900000000000001,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.7000000000000001,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.71,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.72,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.73,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.74,0.1677734126984127,0.1999500282267568,1.0,0.0,0.782,0.10739836781538818
0.75,0.0,0.0,1.0,0.0,0.7385625,0.11139540511183588
0.76,0.0,0.0,1.0,0.0,0.7385625,0.11139540511183588
0.77,0.0,0.0,1.0,0.0,0.7385625,0.11139540511183588
0.78,0.0,0.0,1.0,0.0,0.7385625,0.11139540511183588
