Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.08,0.997,0.054717401199198004,0.3287439990564991,0.14763931645790132,0.5656875,0.12359063775015278
0.09,0.997,0.054717401199198004,0.3287439990564991,0.14763931645790132,0.5656875,0.12359063775015278
0.1,0.997,0.054717401199198004,0.3287439990564991,0.14763931645790132,0.5656875,0.12359063775015278
0.11,0.997,0.054717401199198004,0.3287439990564991,0.14763931645790132,0.5656875,0.12359063775015278
0.12,0.997,0.054717401199198004,0.3287439990564991,0.14763931645790132,0.5656875,0.12359063775015278
0.13,0.997,0.054717401199198004,0.3287439990564991,0.14763931645790132,0.5656875,0.12359063775015278
0.14,0.8685584054834056,0.16047573866749487,0.3287439990564991,0.14763931645790132,0.5199375,0.12284234850545775
0.15,0.8685584054834056,0.16047573866749487,0.3287439990564991,0.14763931645790132,0.5199375,0.12284234850545775
0.16,0.8685584054834056,0.16047573866749487,0.3287439990564991,0.14763931645790132,0.5199375,0.12284234850545775
0.17,0.8685584054834056,0.16047573866749487,0.40295243367743366,0.15557036874474808,0.5674375,0.12410148477061939
0.18,0.8685584054834056,0.16047573866749487,0.40295243367743366,0.15557036874474808,0.5674375,0.12410148477061939
0.19,0.8685584054834056,0.16047573866749487,0.40295243367743366,0.15557036874474808,0.5674375,0.12410148477061939
0.2,0.7411104978354979,0.20469055632863992,0.40295243367743366,0.15557036874474808,0.5226875,0.1265425189525357
0.21,0.7411104978354979,0.20469055632863992,0.40295243367743366,0.15557036874474808,0.5226875,0.1265425189525357
0.22,0.7411104978354979,0.20469055632863992,0.40295243367743366,0.15557036874474808,0.5226875,0.1265425189525357
