Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.01,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.02,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.03,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.04,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.05,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.06,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.07,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.08,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.09,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.1,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.11,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.12,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.13,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.14,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.15,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.16,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.17,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.18,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.19,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.2,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.21,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.22,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.23,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.24,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.25,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.26,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.27,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.28,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.29,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.3,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.31,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.32,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.33,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.34,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.35000000000000003,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.36,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.37,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.38,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.39,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.4,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.41000000000000003,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.42,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.43,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.44,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.45,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.46,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.47000000000000003,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.48,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.49,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.5,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.51,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.52,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.53,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.54,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.55,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.56,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.5700000000000001,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.58,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.59,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.6,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.61,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.62,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.63,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.64,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.65,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.66,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.67,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.68,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.6900000000000001,0.999,0.03162277660168379,0.0,0.0,0.8594,0.15715068035594482
0.7000000000000001,0.8258333333333334,0.19034320605592206,0.0,0.0,0.7105999999999999,0.20457147770275674
0.71,0.6583333333333332,0.23925467258532163,0.0,0.0,0.5661999999999999,0.22411556792821818
0.72,0.6583333333333332,0.23925467258532163,0.0,0.0,0.5661999999999999,0.22411556792821818
0.73,0.6583333333333332,0.23925467258532163,0.0,0.0,0.5661999999999999,0.22411556792821818
0.74,0.6583333333333332,0.23925467258532163,0.0,0.0,0.5661999999999999,0.22411556792821818
0.75,0.6583333333333332,0.23925467258532163,0.0,0.0,0.5661999999999999,0.22411556792821818
0.76,0.6583333333333332,0.23925467258532163,0.0,0.0,0.5661999999999999,0.22411556792821818
0.77,0.6583333333333332,0.23925467258532163,0.0,0.0,0.5661999999999999,0.22411556792821818
0.78,0.6583333333333332,0.23925467258532163,0.0,0.0,0.5661999999999999,0.22411556792821818
0.79,0.6583333333333332,0.23925467258532163,0.529,0.4994080580130925,0.7068,0.2074531195157036
0.8,0.6583333333333332,0.23925467258532163,0.529,0.4994080580130925,0.7068,0.2074531195157036
0.81,0.6583333333333332,0.23925467258532163,0.529,0.4994080580130925,0.7068,0.2074531195157036
0.8200000000000001,0.6583333333333332,0.23925467258532163,0.529,0.4994080580130925,0.7068,0.2074531195157036
0.8300000000000001,0.6583333333333332,0.23925467258532163,0.529,0.4994080580130925,0.7068,0.2074531195157036
0.84,0.6583333333333332,0.23925467258532163,0.529,0.4994080580130925,0.7068,0.2074531195157036
0.85,0.6583333333333332,0.23925467258532163,0.529,0.4994080580130925,0.7068,0.2074531195157036
0.86,0.6583333333333332,0.23925467258532163,0.529,0.4994080580130925,0.7068,0.2074531195157036
0.87,0.49123333333333336,0.24302946320693983,0.529,0.4994080580130925,0.5624000000000001,0.2205331604881109
0.88,0.3237833333333333,0.23407139990521467,0.529,0.4994080580130925,0.4202,0.22253422541596043
0.89,0.3237833333333333,0.23407139990521467,0.529,0.4994080580130925,0.4202,0.22253422541596043
0.9,0.3237833333333333,0.23407139990521467,0.529,0.4994080580130925,0.4202,0.22253422541596043
0.91,0.14733333333333332,0.17609185578841613,0.529,0.4994080580130925,0.2688000000000001,0.19622707525992703
0.92,0.14733333333333332,0.17609185578841613,0.529,0.4994080580130925,0.2688000000000001,0.19622707525992703
0.93,0.14733333333333332,0.17609185578841613,0.529,0.4994080580130925,0.2688000000000001,0.19622707525992703
0.9400000000000001,0.14733333333333332,0.17609185578841613,0.529,0.4994080580130925,0.2688000000000001,0.19622707525992703
0.9500000000000001,0.0,0.0,0.529,0.4994080580130925,0.1406,0.15715068035594482
0.96,0.0,0.0,0.529,0.4994080580130925,0.1406,0.15715068035594482
0.97,0.0,0.0,0.529,0.4994080580130925,0.1406,0.15715068035594482
0.98,0.0,0.0,0.529,0.4994080580130925,0.1406,0.15715068035594482
0.99,0.0,0.0,0.529,0.4994080580130925,0.1406,0.15715068035594482
1.0,0.0,0.0,0.529,0.4994080580130925,0.1406,0.15715068035594482
