Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.01,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.02,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.03,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.04,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.05,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.06,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.07,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.08,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.09,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.1,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.11,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.12,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.13,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.14,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.15,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.16,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.17,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.18,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.19,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.2,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.21,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.22,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.23,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.24,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.25,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.26,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.27,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.28,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.29,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.3,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.31,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.32,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.33,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.34,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.35000000000000003,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.36,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.37,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.38,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.39,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.4,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.41000000000000003,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.42,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.43,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.44,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.45,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.46,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.47000000000000003,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.48,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.49,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.5,0.939,0.239450070654273,0.0,0.0,0.5015,0.25037059618780205
0.51,0.939,0.239450070654273,0.30316666666666664,0.353228393643339,0.66625,0.2344747660536543
0.52,0.939,0.239450070654273,0.30316666666666664,0.353228393643339,0.66625,0.2344747660536543
0.53,0.939,0.239450070654273,0.6249166666666667,0.37940677130122535,0.83475,0.1865200451083669
0.54,0.6246666666666667,0.38424931545197866,0.935,0.2466492161670818,0.83225,0.18896599071167713
0.55,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.56,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.5700000000000001,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.58,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.59,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.6,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.61,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.62,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.63,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.64,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.65,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.66,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.67,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.68,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.6900000000000001,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.7000000000000001,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.71,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.72,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.73,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.74,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.75,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.76,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.77,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.78,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.79,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.8,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.81,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.8200000000000001,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.8300000000000001,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.84,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.85,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.86,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.87,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.88,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.89,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.9,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.91,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.92,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.93,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.9400000000000001,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.9500000000000001,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
0.96,0.0,0.0,0.935,0.2466492161670818,0.4985,0.25037059618780205
