Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.01,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.02,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.03,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.04,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.05,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.06,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.07,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.08,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.09,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.1,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.11,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.12,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.13,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.14,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.15,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.16,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.17,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.18,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.19,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.2,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.21,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.22,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.23,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.24,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.25,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.26,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.27,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.28,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.29,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.3,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.31,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.32,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.33,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.34,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.35000000000000003,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.36,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.37,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.38,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.39,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.4,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.41000000000000003,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.42,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.43,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.44,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.45,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.46,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.47000000000000003,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.48,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.49,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.5,1.0,0.0,0.0,0.0,0.57775,0.11222759256320405
0.51,1.0,0.0,0.24680347707847708,0.15804873280492496,0.68285,0.10348471668119204
0.52,1.0,0.0,0.24680347707847708,0.15804873280492496,0.68285,0.10348471668119204
0.53,1.0,0.0,0.41217491813741813,0.17193589149551394,0.7524,0.09456840478290401
0.54,0.8187090648730354,0.11829607352579051,0.5840421425796426,0.17401510659234135,0.7203499999999999,0.10172868929769138
0.55,0.3748730062421239,0.14454696747541343,0.8307123681873682,0.13550691078075472,0.5684,0.11264603468000606
0.56,0.248383550926198,0.12585502070058852,1.0,0.0,0.5655999999999999,0.11157548605804542
0.5700000000000001,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.58,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.59,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.6,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.61,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.62,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.63,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.64,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.65,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.66,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.67,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.68,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.6900000000000001,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.7000000000000001,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.71,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.72,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.73,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.74,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.75,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.76,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.77,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.78,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.79,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.8,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.81,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.8200000000000001,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.8300000000000001,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.84,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.85,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.86,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.87,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.88,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.89,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.9,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.91,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.92,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.93,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.9400000000000001,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.9500000000000001,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.96,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.97,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.98,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
0.99,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
1.0,0.0,0.0,1.0,0.0,0.42225,0.11222759256320405
