Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.01,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.02,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.03,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.04,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.05,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.06,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.07,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.08,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.09,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.1,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.11,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.12,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.13,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.14,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.15,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.16,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.17,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.18,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.19,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.2,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.21,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.22,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.23,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.24,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.25,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.26,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.27,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.28,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.29,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.3,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.31,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.32,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.33,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.34,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.35000000000000003,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.36,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.37,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.38,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.39,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.4,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.41000000000000003,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.42,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.43,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.44,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.45,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.46,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.47000000000000003,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.48,1.0,0.0,0.0,0.0,0.8059000000000001,0.12194285571553613
0.49,0.9206630952380952,0.09871345368987106,0.0,0.0,0.7419000000000001,0.13774383239682048
0.5,0.5909615079365078,0.17223477329993694,0.5988880952380953,0.4012983211516245,0.6050999999999999,0.15358247809427214
0.51,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.52,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.53,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.54,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.55,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.56,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.5700000000000001,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.58,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.59,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.6,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.61,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.62,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.63,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.64,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.65,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.66,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
0.67,0.0,0.0,0.898,0.3027997484934353,0.19410000000000002,0.1219428557155361
