Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.01,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.02,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.03,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.04,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.05,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.06,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.07,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.08,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.09,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.1,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.11,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.12,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.13,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.14,0.898,0.30279974849343533,0.0,0.0,0.233,0.14355539474794313
0.15,0.898,0.30279974849343533,0.09374007936507937,0.11455074918032927,0.30477777777777776,0.1559091188235784
0.16,0.898,0.30279974849343533,0.09374007936507937,0.11455074918032927,0.30477777777777776,0.1559091188235784
0.17,0.5821309523809524,0.39102535193283683,0.09374007936507937,0.11455074918032927,0.22411111111111115,0.14020722332633326
0.18,0.5821309523809524,0.39102535193283683,0.09374007936507937,0.11455074918032927,0.22411111111111115,0.14020722332633326
0.19,0.5821309523809524,0.39102535193283683,0.09374007936507937,0.11455074918032927,0.22411111111111115,0.14020722332633326
0.2,0.5821309523809524,0.39102535193283683,0.09374007936507937,0.11455074918032927,0.22411111111111115,0.14020722332633326
0.21,0.5821309523809524,0.39102535193283683,0.09374007936507937,0.11455074918032927,0.22411111111111115,0.14020722332633326
0.22,0.5821309523809524,0.39102535193283683,0.09374007936507937,0.11455074918032927,0.22411111111111115,0.14020722332633326
0.23,0.5821309523809524,0.39102535193283683,0.09374007936507937,0.11455074918032927,0.22411111111111115,0.14020722332633326
0.24,0.5821309523809524,0.39102535193283683,0.09374007936507937,0.11455074918032927,0.22411111111111115,0.14020722332633326
0.25,0.5821309523809524,0.39102535193283683,0.09374007936507937,0.11455074918032927,0.22411111111111115,0.14020722332633326
0.26,0.5821309523809524,0.39102535193283683,0.09374007936507937,0.11455074918032927,0.22411111111111115,0.14020722332633326
0.27,0.5821309523809524,0.39102535193283683,0.09374007936507937,0.11455074918032927,0.22411111111111115,0.14020722332633326
0.28,0.5821309523809524,0.39102535193283683,0.09374007936507937,0.11455074918032927,0.22411111111111115,0.14020722332633326
0.29,0.5821309523809524,0.39102535193283683,0.20065396825396822,0.15821514142234858,0.30666666666666664,0.15501279701638762
0.3,0.5821309523809524,0.39102535193283683,0.20065396825396822,0.15821514142234858,0.30666666666666664,0.15501279701638762
0.31,0.5821309523809524,0.39102535193283683,0.20065396825396822,0.15821514142234858,0.30666666666666664,0.15501279701638762
0.32,0.5821309523809524,0.39102535193283683,0.3003873015873016,0.17650053418064798,0.38322222222222224,0.1608424769803257
0.33,0.5821309523809524,0.39102535193283683,0.40088412698412695,0.1897442296320896,0.4603333333333333,0.1660278045947884
0.34,0.5821309523809524,0.39102535193283683,0.49855119047619045,0.1935435102438772,0.5352222222222222,0.16695415090173152
0.35000000000000003,0.5821309523809524,0.39102535193283683,0.49855119047619045,0.1935435102438772,0.5352222222222222,0.16695415090173152
0.36,0.5821309523809524,0.39102535193283683,0.49855119047619045,0.1935435102438772,0.5352222222222222,0.16695415090173152
0.37,0.5821309523809524,0.39102535193283683,0.49855119047619045,0.1935435102438772,0.5352222222222222,0.16695415090173152
0.38,0.5821309523809524,0.39102535193283683,0.49855119047619045,0.1935435102438772,0.5352222222222222,0.16695415090173152
0.39,0.5821309523809524,0.39102535193283683,0.49855119047619045,0.1935435102438772,0.5352222222222222,0.16695415090173152
0.4,0.5821309523809524,0.39102535193283683,0.49855119047619045,0.1935435102438772,0.5352222222222222,0.16695415090173152
0.41000000000000003,0.5821309523809524,0.39102535193283683,0.49855119047619045,0.1935435102438772,0.5352222222222222,0.16695415090173152
0.42,0.5821309523809524,0.39102535193283683,0.5931924603174602,0.19182116921546805,0.6076666666666667,0.16552416772771825
0.43,0.5821309523809524,0.39102535193283683,0.6949003968253968,0.18100820337447737,0.6855555555555557,0.1569420391200182
0.44,0.5821309523809524,0.39102535193283683,0.6949003968253968,0.18100820337447737,0.6855555555555557,0.1569420391200182
0.45,0.5821309523809524,0.39102535193283683,0.6949003968253968,0.18100820337447737,0.6855555555555557,0.1569420391200182
0.46,0.5821309523809524,0.39102535193283683,0.7992674603174603,0.15796382724610247,0.766,0.14403550850117017
0.47000000000000003,0.5821309523809524,0.39102535193283683,0.7992674603174603,0.15796382724610247,0.766,0.14403550850117017
0.48,0.5821309523809524,0.39102535193283683,0.7992674603174603,0.15796382724610247,0.766,0.14403550850117017
0.49,0.5821309523809524,0.39102535193283683,0.7992674603174603,0.15796382724610247,0.766,0.14403550850117017
0.5,0.5821309523809524,0.39102535193283683,0.7992674603174603,0.15796382724610247,0.766,0.14403550850117017
0.51,0.5821309523809524,0.39102535193283683,0.7992674603174603,0.15796382724610247,0.766,0.14403550850117017
0.52,0.0,0.0,0.901318253968254,0.11914060453538063,0.6913333333333334,0.15732017838604273
0.53,0.0,0.0,0.901318253968254,0.11914060453538063,0.6913333333333334,0.15732017838604273
0.54,0.0,0.0,0.901318253968254,0.11914060453538063,0.6913333333333334,0.15732017838604273
0.55,0.0,0.0,0.901318253968254,0.11914060453538063,0.6913333333333334,0.15732017838604273
0.56,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.5700000000000001,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.58,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.59,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.6,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.61,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.62,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.63,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.64,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.65,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.66,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.67,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.68,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.6900000000000001,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.7000000000000001,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.71,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.72,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.73,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.74,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.75,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.76,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.77,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.78,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.79,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.8,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.81,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.8200000000000001,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.8300000000000001,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.84,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.85,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.86,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
0.87,0.0,0.0,1.0,0.0,0.767,0.14355539474794313
