Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.01,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.02,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.03,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.04,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.05,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.06,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.07,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.08,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.09,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.1,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.11,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.12,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.13,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.14,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.15,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.16,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.17,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.18,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.19,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.2,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.21,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.22,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.23,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.24,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.25,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.26,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.27,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.28,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.29,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.3,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.31,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.32,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.33,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.34,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.35000000000000003,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.36,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.37,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.38,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.39,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.4,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.41000000000000003,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.42,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.43,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.44,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.45,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.46,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.47000000000000003,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.48,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.49,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.5,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.51,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.52,1.0,0.0,0.0,0.0,0.411,0.1301552335838775
0.53,0.6729180014430015,0.20152194857936484,0.22601231546231548,0.14727291677248364,0.40920000000000006,0.12590159336247977
0.54,0.3403589466089466,0.20341989435166674,0.551775740925741,0.1752702426758474,0.4666,0.12786586161855845
0.55,0.1173183621933622,0.13836180145266488,0.8530211344211345,0.12459176610188157,0.5510666666666666,0.13238306684579643
0.56,0.1173183621933622,0.13836180145266488,0.8530211344211345,0.12459176610188157,0.5510666666666666,0.13238306684579643
0.5700000000000001,0.1173183621933622,0.13836180145266488,0.8530211344211345,0.12459176610188157,0.5510666666666666,0.13238306684579643
0.58,0.1173183621933622,0.13836180145266488,0.8530211344211345,0.12459176610188157,0.5510666666666666,0.13238306684579643
0.59,0.0,0.0,1.0,0.0,0.589,0.1301552335838775
0.6,0.0,0.0,1.0,0.0,0.589,0.1301552335838775
0.61,0.0,0.0,1.0,0.0,0.589,0.1301552335838775
