Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.01,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.02,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.03,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.04,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.05,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.06,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.07,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.08,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.09,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.1,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.11,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.12,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.13,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.14,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.15,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.16,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.17,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.18,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.19,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.2,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.21,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.22,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.23,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.24,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.25,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.26,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.27,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.28,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.29,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.3,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.31,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.32,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.33,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.34,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.35000000000000003,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.36,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.37,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.38,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.39,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.4,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.41000000000000003,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.42,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.43,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
0.44,1.0,0.0,0.0,0.0,0.7101034482758621,0.0865348839823379
