Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.01,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.02,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.03,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.04,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.05,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.06,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.07,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.08,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.09,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.1,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.11,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.12,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.13,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.14,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.15,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.16,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.17,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.18,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.19,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.2,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.21,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.22,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.23,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.24,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.25,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.26,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.27,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.28,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.29,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.3,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.31,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.32,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.33,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.34,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.35000000000000003,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.36,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.37,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.38,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.39,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
0.4,1.0,0.0,0.0,0.0,0.9463846153846155,0.06162651550438356
