Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.01,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.02,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.03,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.04,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.05,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.06,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.07,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.08,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.09,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.1,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.11,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.12,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.13,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.14,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.15,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.16,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.17,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.18,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.19,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.2,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.21,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.22,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.23,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.24,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.25,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.26,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.27,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.28,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.29,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.3,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.31,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.32,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.33,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.34,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.35000000000000003,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.36,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.37,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.38,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.39,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.4,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.41000000000000003,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.42,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.43,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.44,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.45,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.46,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.47000000000000003,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.48,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.49,1.0,0.0,0.0,0.0,0.724409090909091,0.05534477797776486
0.5,0.9397462977692812,0.03534622990002129,0.23189471249779883,0.09978578736251126,0.7448030303030303,0.054320251015497346
0.51,0.9397462977692812,0.03534622990002129,0.23189471249779883,0.09978578736251126,0.7448030303030303,0.054320251015497346
0.52,0.9104209952403719,0.04169127866214476,0.23189471249779883,0.09978578736251126,0.7235909090909091,0.05573921899011691
0.53,0.9104209952403719,0.04169127866214476,0.34201417337216233,0.11164938931109954,0.753878787878788,0.053321384785968456
0.54,0.8963365798146904,0.04311875216456278,0.38091437631245995,0.11507543428654611,0.7542272727272727,0.05221458126390096
0.55,0.7935893864309417,0.056621244273240466,0.4960584417508069,0.11779850707603558,0.7116060606060606,0.052501368321078976
0.56,0.6000444432187328,0.06912556947457035,0.6471236476299905,0.1146898979960982,0.6131818181818182,0.05845419196521923
0.5700000000000001,0.3801362283677246,0.06983978669083658,0.8842435643296213,0.0768375710387143,0.519060606060606,0.06123493756019031
0.58,0.1433835544834593,0.05054108436286575,0.9590772232211825,0.04690935845444341,0.36807575757575756,0.060940984278346426
0.59,0.0,0.0,0.9590772232211825,0.04690935845444341,0.26433333333333336,0.0546129129913297
0.6,0.0,0.0,1.0,0.0,0.2755909090909091,0.05534477797776486
0.61,0.0,0.0,1.0,0.0,0.2755909090909091,0.05534477797776486
0.62,0.0,0.0,1.0,0.0,0.2755909090909091,0.05534477797776486
0.63,0.0,0.0,1.0,0.0,0.2755909090909091,0.05534477797776486
0.64,0.0,0.0,1.0,0.0,0.2755909090909091,0.05534477797776486
0.65,0.0,0.0,1.0,0.0,0.2755909090909091,0.05534477797776486
