Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.01,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.02,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.03,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.04,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.05,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.06,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.07,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.08,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.09,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.1,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.11,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.12,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.13,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.14,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.15,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.16,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.17,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.18,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.19,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.2,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.21,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.22,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.23,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.24,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.25,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.26,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.27,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.28,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.29,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.3,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
0.31,1.0,0.0,0.0,0.0,0.839846153846154,0.1024276061001842
