Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.01,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.02,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.03,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.04,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.05,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.06,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.07,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.08,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.09,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.1,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.11,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.12,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.13,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.14,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.15,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.16,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.17,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.18,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.19,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.2,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.21,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.22,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.23,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.24,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.25,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.26,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.27,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.28,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.29,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.3,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.31,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.32,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.33,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.34,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.35000000000000003,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.36,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.37,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.38,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.39,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.4,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.41000000000000003,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.42,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.43,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.44,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.45,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.46,1.0,0.0,0.0,0.0,0.8544666666666668,0.09041510076310018
0.47000000000000003,0.7799565434565435,0.11801583908983662,0.0,0.0,0.6665999999999999,0.12318754290220192
0.48,0.11714120324120324,0.09040673685298987,0.6035261904761906,0.3840947903064993,0.19619999999999999,0.10193874171588628
0.49,0.06117602397602398,0.06941166420205572,0.915,0.27902124086322333,0.19740000000000005,0.10604001360092559
0.5,0.0,0.0,0.915,0.27902124086322333,0.14553333333333332,0.09041510076310018
0.51,0.0,0.0,0.915,0.27902124086322333,0.14553333333333332,0.09041510076310018
0.52,0.0,0.0,0.915,0.27902124086322333,0.14553333333333332,0.09041510076310018
0.53,0.0,0.0,0.915,0.27902124086322333,0.14553333333333332,0.09041510076310018
0.54,0.0,0.0,0.915,0.27902124086322333,0.14553333333333332,0.09041510076310018
0.55,0.0,0.0,0.915,0.27902124086322333,0.14553333333333332,0.09041510076310018
0.56,0.0,0.0,0.915,0.27902124086322333,0.14553333333333332,0.09041510076310018
0.5700000000000001,0.0,0.0,0.915,0.27902124086322333,0.14553333333333332,0.09041510076310018
0.58,0.0,0.0,0.915,0.27902124086322333,0.14553333333333332,0.09041510076310018
0.59,0.0,0.0,0.915,0.27902124086322333,0.14553333333333332,0.09041510076310018
0.6,0.0,0.0,0.915,0.27902124086322333,0.14553333333333332,0.09041510076310018
0.61,0.0,0.0,0.915,0.27902124086322333,0.14553333333333332,0.09041510076310018
