Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.01,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.02,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.03,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.04,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.05,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.06,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.07,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.08,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.09,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.1,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.11,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.12,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.13,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.14,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.15,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.16,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.17,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.18,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.19,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.2,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.21,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.22,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.23,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.24,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.25,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.26,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.27,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.28,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.29,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.3,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.31,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.32,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.33,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.34,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.35000000000000003,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.36,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.37,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.38,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.39,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.4,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.41000000000000003,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.42,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.43,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.44,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.45,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.46,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.47000000000000003,0.981,0.13659303663678346,0.0,0.0,0.3954285714285714,0.17944095463147816
0.48,0.7565595238095238,0.2960345827786989,0.6680380952380952,0.2466034309650382,0.7082857142857142,0.17188532506626739
