Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.01,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.02,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.03,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.04,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.05,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.06,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.07,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.08,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.09,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.1,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.11,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.12,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.13,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.14,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.15,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.16,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.17,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.18,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.19,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.2,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.21,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.22,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.23,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.24,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.25,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.26,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.27,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.28,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.29,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.3,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.31,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.32,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.33,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.34,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.35000000000000003,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.36,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.37,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.38,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.39,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.4,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.41000000000000003,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.42,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.43,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.44,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.45,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.46,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.47000000000000003,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.48,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.49,1.0,0.0,0.0,0.0,0.4440277777777778,0.08276497222283592
0.5,0.9111310686356017,0.07429273492675859,0.1053673433117576,0.07095061053729054,0.4630277777777778,0.0845316604600824
0.51,0.3939143877696913,0.12994055354355705,0.6551112378987781,0.11041613588713395,0.5399444444444444,0.08576853761440525
0.52,0.0,0.0,0.930415648606961,0.05671838953919417,0.5173333333333334,0.0832666845032007
0.53,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.54,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.55,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.56,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.5700000000000001,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.58,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.59,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.6,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.61,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.62,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.63,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.64,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.65,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.66,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.67,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.68,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.6900000000000001,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.7000000000000001,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.71,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.72,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.73,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.74,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.75,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.76,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.77,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.78,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.79,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.8,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.81,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.8200000000000001,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.8300000000000001,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.84,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.85,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.86,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.87,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.88,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.89,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.9,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.91,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.92,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.93,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.9400000000000001,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.9500000000000001,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.96,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.97,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.98,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
0.99,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
1.0,0.0,0.0,1.0,0.0,0.5559722222222222,0.08276497222283592
