Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.01,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.02,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.03,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.04,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.05,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.06,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.07,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.08,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.09,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.1,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.11,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.12,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.13,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.14,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.15,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.16,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.17,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.18,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.19,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.2,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.21,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.22,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.23,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.24,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.25,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
0.26,0.999,0.03162277660168379,0.0,0.0,0.580375,0.17182114794716594
