Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.01,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.02,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.03,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.04,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.05,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.06,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.07,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.08,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.09,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.1,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.11,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.12,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.13,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.14,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.15,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.16,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.17,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.18,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.19,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.2,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.21,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.22,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.23,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.24,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.25,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.26,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.27,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.28,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.29,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.3,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.31,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.32,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.33,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.34,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.35000000000000003,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.36,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.37,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.38,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.39,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.4,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.41000000000000003,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.42,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.43,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.44,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.45,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.46,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.47000000000000003,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.48,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.49,1.0,0.0,0.0,0.0,0.14331818181818182,0.038527505320054764
0.5,0.9474694165165761,0.06494808433175481,0.009046709366273614,0.011373280786458747,0.14339772727272726,0.03784095674295377
0.51,0.27840321981914723,0.13066923467884994,0.6387954822740185,0.052965975451240495,0.5872613636363636,0.051101226793505546
0.52,0.164657564276271,0.108418889800108,0.7506488017188709,0.04929396764399747,0.6668409090909091,0.05034553193490907
0.53,0.05384518092404248,0.06524658462703867,0.9723695359266458,0.018991317151442453,0.8408295454545455,0.03965099247564274
0.54,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.55,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.56,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.5700000000000001,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.58,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.59,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.6,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.61,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.62,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.63,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.64,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.65,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.66,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.67,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.68,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.6900000000000001,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.7000000000000001,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.71,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.72,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.73,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.74,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.75,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.76,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.77,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.78,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.79,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.8,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.81,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.8200000000000001,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.8300000000000001,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.84,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.85,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.86,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.87,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.88,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.89,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.9,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.91,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.92,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.93,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.9400000000000001,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.9500000000000001,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.96,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
0.97,0.0,0.0,1.0,0.0,0.8566818181818181,0.03852750532005476
